age,female,income,wealth
56,0,341516,265221
55,1,285409,-1674232
53,0,359226,-62942
52,0,285345,-698977
51,1,55000,52061
48,0,134143,-317627
48,1,254575,95765
44,0,245299,-68451
44,0,622745,346239
44,1,106636,163623
44,1,141575,63086
43,1,239795,19174
41,1,158197,-7698
39,0,15200,-909173
38,1,73302,146634
37,0,365131,-423242
36,0,7695,-203856
36,0,377146,265253
33,1,141026,93968
32,1,354055,-763
32,0,278895,-435446
32,0,351074,-799288
32,1,213152,258660
31,0,260548,-1012488
27,1,0,100207
27,1,189047,143860
26,0,173391,-1044872
26,1,201290,-275438
26,1,39767,-28669
24,1,62294,-267042
22,0,39590,-99935
21,1,176643,12210
20,1,6836,-23091
18,0,20505,7150
18,1,20808,131891
18,0,4773,3080
17,0,20620,35796
17,0,39849,15349
16,1,2372,0
15,1,0,0
14,0,7200,0
14,1,3720,0
10,1,0,0
10,0,0,0
9,0,0,0
8,0,0,0
7,0,0,0
6,0,0,0
6,1,0,0
6,0,0,0
5,0,0,0
4,0,0,0
2,1,0,0
1,1,0,0
1,0,0,0
1,1,0,0
85,0,0,22585
81,0,283896,3146641
73,1,0,1423560
72,0,0,339904
67,1,0,3654
66,1,0,660178
64,0,0,84127
62,0,584132,2952823
59,1,32946,37600
56,0,430363,491095
52,0,653224,-141371
52,0,0,-7428
51,1,186661,-507958
50,1,245815,463002
49,0,293161,273355
49,1,257825,24371
46,1,125110,8495
46,1,299727,100424
46,0,469753,-585020
45,0,320206,103419
44,1,201900,-106904
43,0,649968,-110003
43,1,206647,193923
42,1,121396,124870
42,0,41921,-254245
40,0,932312,155983
40,0,242910,466013
39,0,372872,-289405
37,0,0,-971
36,0,282066,244698
36,0,554810,-100316
35,1,233668,8488
35,0,250969,119403
35,1,206654,-112537
35,1,273787,-554115
35,0,478958,-1675505
34,1,253620,-100608
34,1,158998,-266830
33,0,321937,24674
31,1,113182,69361
29,0,89087,108537
29,1,0,161
29,1,396076,-468443
28,0,107395,-283850
28,0,281798,-941517
28,1,38791,-553538
25,1,61834,-98924
24,1,10750,-181499
24,0,220472,115765
23,1,122685,-113387
20,0,289366,51960
20,1,43646,31618
19,0,130431,25412
19,1,59113,6656
18,1,0,-12100
16,0,15600,0
15,1,0,0
14,0,0,0
14,1,0,0
12,1,0,0
12,0,0,0
11,1,0,0
10,0,0,0
10,0,0,0
7,0,0,0
5,1,0,0
3,1,0,0
2,0,0,0
2,0,0,0
1,1,0,0
1,1,0,0
0,0,0,0
0,0,0,0
82,1,0,7743
81,1,0,185564
79,0,0,437868
75,0,0,2064491
71,1,0,127008
69,0,38425,203138
69,0,0,854262
69,0,0,35969
67,1,0,2018
66,0,268806,75351
66,1,178620,139856
65,1,0,168264
61,1,109230,-19731
61,1,196548,6212
58,1,265578,162839
58,1,209696,-40799
57,0,1933,1082502
57,0,327404,391135
56,0,320626,198622
56,1,169626,107221
56,0,244299,166127
54,1,223895,-7417
53,0,475236,382186
52,0,394712,337727
51,1,246022,231083
51,1,0,91099614
49,1,18556,713623
49,1,90533,38810
49,0,206850,142404
46,1,408931,-262767
46,1,259637,-68554
45,0,608674,51646
43,0,199143,191812
42,0,518281,-100809
42,1,342423,536823
42,0,342512,-934239
42,0,347753,-578519
40,1,273570,71548
39,1,240908,-8346
39,0,304493,383065
38,0,311567,601032
38,0,288208,-454506
38,1,38060,146457
37,0,310459,542559
35,0,305734,-549468
33,0,217774,17142
31,0,3539,-43514
31,1,3129,79029
30,1,202013,37266
30,1,0,58356
29,0,255638,-24714
29,0,538448,-160263
26,1,332497,-134532
25,0,112687,-124853
